名字,姓氏,goat_score_stats,场均综合分,耐久系数,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,场均失误,投篮命中率,出场总数,场均得分_分,场均篮板_分,场均助攻_分,场均抢断_分,场均盖帽_分,场均失误_分
Luol,Deng,4.14,3.81,1.0863,,,,1.21,1.01,,,1230,,,,2.299,1.515,
Shawn,Bradley,4.02,4.02,1.0,,,,,2.68,,,,,,,,4.02,
Kevin,Willis,4.0,3.56,1.1242,,8.77,,,,1.82,,1340,,7.016,,,,-3.458
Theo,Ratliff,3.72,3.72,1.0,,,,,2.48,,,,,,,,3.72,
Quinn,Buckner,3.61,3.61,1.0,,,,1.90,,,,,,,,3.61,,
Ron,Lee,3.61,3.61,1.0,,,,1.90,,,,,,,,3.61,,
Ron,Artest,3.52,3.52,1.0,,,,1.85,,,,,,,,3.515,,
Don,Buse,3.42,3.42,1.0,,,,1.80,,,,,,,,3.42,,
Larry,Nance,3.3,3.3,1.0,,,,,2.20,,55.0,,,,,,3.3,
Tree,Rollins,3.3,3.3,1.0,,,,,2.20,,52.0,,,,,,3.3,
Ron,Harper,3.23,3.23,1.0,,,,1.70,,,,,,,,3.23,,
Hersey,Hawkins,3.23,3.23,1.0,,,,1.70,,,,,,,,3.23,,
Doug,Christie,3.15,3.15,1.0,,,,1.66,,,,,,,,3.154,,
Dudley,Bradley,3.04,3.04,1.0,,,,1.60,,,,,,,,3.04,,
Kendall,Gill,3.04,3.04,1.0,,,,1.60,,,,,,,,3.04,,
Lionel,Hollins,3.04,3.04,1.0,,,,1.60,,,,,,,,3.04,,
Eddie,Jones,3.0,3.0,1.0,,,,1.58,,,,,,,,3.002,,
Darrell,Walker,2.85,2.85,1.0,,,,1.50,,,,,,,,2.85,,
Darrell,Armstrong,2.81,2.81,1.0,,,,1.48,,,,,,,,2.812,,
Kerry,Kittles,2.77,2.77,1.0,,,,1.46,,,,,,,,2.774,,
Penny,Hardaway,2.74,2.74,1.0,,,,1.44,,,,,,,,2.736,,
Sam,Bowie,2.7,2.7,1.0,,,,,1.80,,,,,,,,2.7,
Kevin,Edwards,2.66,2.66,1.0,,,,1.40,,,,,,,,2.66,,
Zydrunas,Ilgauskas,2.66,2.66,1.0,,,,,1.77,,,,,,,,2.655,
Larry,Steele,2.66,2.66,1.0,,,,1.40,,,,,,,,2.66,,
Tom,Gugliotta,2.62,2.62,1.0,,,,1.38,,,,,,,,2.622,,
Latrell,Sprewell,2.56,2.56,1.0,,,,1.35,,,,,,,,2.565,,
Kevin,McHale,2.55,2.55,1.0,,,,,1.70,,55.0,,,,,,2.55,
Louis,Williams,2.54,2.36,1.076,,,4.84,,,2.07,,1201,,,6.292,,,-3.933
Caron,Butler,2.49,2.49,1.0,,,,1.31,,,,,,,,2.489,,
Alvan,Adams,2.47,2.47,1.0,,,,1.30,,,,,,,,2.47,,
Dee,Brown,2.47,2.47,1.0,,,,1.30,,,,,,,,2.47,,
M.L.,Carr,2.47,2.47,1.0,,,,1.30,,,,,,,,2.47,,
John,Williams,2.47,2.47,1.0,,,,1.30,,,,,,,,2.47,,
Pervis,Ellison,2.4,2.4,1.0,,,,,1.60,,,,,,,,2.4,
Terry,Tyler,2.25,2.25,1.0,,,,,1.50,,,,,,,,2.25,
Caldwell,Jones,2.1,2.1,1.0,,,,,1.40,,,,,,,,2.1,
Emeka,Okafor,2.06,2.06,1.0,,,,,1.37,,,,,,,,2.055,
Michael,Olowokandi,1.97,1.97,1.0,,,,,1.31,,,,,,,,1.965,
Tom,Burleson,1.95,1.95,1.0,,,,,1.30,,,,,,,,1.95,
Rik,Smits,1.95,1.95,1.0,,,,,1.30,,,,,,,,1.95,
Franklin,Kersey,1.94,1.94,1.0,,,,,1.29,,,,,,,,1.935,
Monty,Dudley,1.89,1.89,1.0,,,,,1.26,,,,,,,,1.89,
Josh,Smith,1.86,1.86,1.0,,,,,1.24,,52.0,,,,,,1.86,
Thurl,Bailey,1.8,1.8,1.0,,,,,1.20,,,,,,,,1.8,
Joe,Meriweather,1.8,1.8,1.0,,,,,1.20,,51.0,,,,,,1.8,
Rasheed,Wallace,1.8,1.8,1.0,,,,,1.20,,,,,,,,1.8,
Antonio,McDyess,1.78,1.78,1.0,,,,,1.19,,,,,,,,1.785,
Brook,McGuire,1.75,1.75,1.0,,,,,1.17,,,,,,,,1.755,
Cliff,Robinson,1.73,1.62,1.0684,,,,,1.08,,,1180,,,,,1.62,
Johnny R.,Haywood,1.69,1.56,1.0842,,,,,1.04,,,1224,,,,,1.56,
