名字,姓氏,goat_score_combined,荣誉分,荣誉归一化,数据分,数据归一化
Arnie,Risen,3.19,2.1,0.37,6.96,9.77
Jaren,Jackson Jr.,3.16,25.6,4.52,,
Harold,Greer,3.15,25.48,4.5,,
Larry,Smith,3.15,0.0,0.0,7.36,10.51
Ray,Felix,3.1,0.7,0.12,7.12,10.07
T.J.,Ford,3.09,0.0,0.0,7.24,10.29
Russell,Westbrook,3.09,25.0,4.41,,
Joe,Fulks,3.08,24.92,4.4,,
David,Cowens,3.07,24.82,4.38,,
Kenny,Smith,3.04,0.0,0.0,7.15,10.12
Vlade,Divac,3.03,0.0,0.0,7.14,10.1
Clifford,Ray,3.02,0.0,0.0,7.12,10.07
Sidney,Wicks,3.01,0.7,0.12,6.96,9.77
Luke,Jackson,2.98,0.0,0.0,7.04,9.92
Kevin,Love,2.97,24.0,4.24,,
A.C.,Green,2.94,2.0,0.35,6.54,8.99
Jay,Williams,2.94,0.0,0.0,6.98,9.81
Kris,Humphries,2.88,0.0,0.0,6.87,9.6
Lonzo,Ball,2.84,23.0,4.06,,
Kelvin,Ransey,2.82,0.0,0.0,6.76,9.4
Trae,Young,2.72,22.0,3.88,,
Slater,Martin,2.63,21.28,3.76,,
Manute,Bol,2.55,6.0,1.06,4.95,6.04
Victor,Wembanyama,2.52,20.4,3.6,,
Deandre,Ayton,2.47,20.0,3.53,,
Norman,Van Lier,2.39,19.3,3.41,,
Danny,Roundfield,2.34,19.0,3.35,,
Don,Chaney,2.27,18.38,3.24,,
Grant,Hill,2.23,18.0,3.18,,
Paul,Westphal,2.23,18.0,3.18,,
Baron,Davis,2.13,2.0,0.35,5.08,6.28
Penny,Hardaway,2.07,12.0,2.12,2.74,1.95
Quinn,Buckner,2.05,8.0,1.41,3.61,3.56
Donald,Buse,1.97,16.0,2.82,,
Eddie,Jones,1.96,10.0,1.76,3.0,2.43
Larry,Nance,1.88,8.0,1.41,3.3,2.98
Tree,Rollins,1.88,8.0,1.41,3.3,2.98
Andre,Drummond,1.85,15.0,2.65,,
Paul,Seymour,1.85,14.98,2.64,,
Jerry,Sloan,1.73,14.0,2.47,,
Myles,Turner,1.73,14.0,2.47,,
Max,Zaslofsky,1.73,14.0,2.47,,
Theo,Ratliff,1.62,4.0,0.71,3.72,3.76
Marc,Gasol,1.6,13.0,2.29,,
Jack,George,1.59,12.88,2.27,,
Neil,Johnson,1.59,12.88,2.27,,
William,Cunningham,1.55,12.6,2.22,,
Charles,Macauley,1.55,12.6,2.22,,
Shawn,Bradley,1.54,2.0,0.35,4.02,4.32
Kevin,Willis,1.53,2.0,0.35,4.0,4.28
Thomas,Sanders,1.5,12.18,2.15,,
Lionel,Hollins,1.49,6.0,1.06,3.04,2.5
Kawhi,Leonard,1.48,12.0,2.12,,
Don,Buse,1.47,4.1,0.72,3.42,3.21
Luol,Deng,1.36,0.0,0.0,4.14,4.54
John,Wall,1.36,11.0,1.94,,
Latrell,Sprewell,1.35,7.0,1.24,2.56,1.61
Doug,Christie,1.31,4.0,0.71,3.15,2.71
Ron,Lee,1.31,2.0,0.35,3.61,3.56
DeMarre,Carroll,1.23,10.0,1.76,,
Zion,Williamson,1.23,10.0,1.76,,
Caldwell,Jones,1.21,8.0,1.41,2.1,0.76
Nathaniel,Thurmond,1.21,9.8,1.73,,
David,Bing,1.13,9.1,1.61,,
Robert,Feerick,1.13,9.1,1.61,,
Maurice,Stokes,1.13,9.1,1.61,,
Samuel,Fedor,1.11,9.0,1.59,,
Nikola,Jokic,1.11,9.0,1.59,,
Robert,Love,1.04,8.4,1.48,,
Dudley,Bradley,0.99,2.0,0.35,3.04,2.5
Kendall,Gill,0.99,2.0,0.35,3.04,2.5
George,Johnson,0.99,8.0,1.41,,
Micheal,Richardson,0.99,8.0,1.41,,
Jamaal,Wilkes,0.89,7.18,1.27,,
Alex,Groza,0.87,7.0,1.24,,
Evan,Mobley,0.87,7.0,1.24,,
Ron,Harper,0.86,0.0,0.0,3.23,2.86
Hersey,Hawkins,0.86,0.0,0.0,3.23,2.86
Zydrunas,Ilgauskas,0.79,2.0,0.35,2.66,1.8
Tiny,Archibald,0.78,6.3,1.11,,
Richard,Guerin,0.78,6.3,1.11,,
John,Logan,0.78,6.3,1.11,,
Michael,Wallace,0.78,6.3,1.11,,
P.J.,Brown,0.74,6.0,1.06,,
E.C.,Coleman,0.74,6.0,1.06,,
Theodore,Dunn,0.74,6.0,1.06,,
